id,q1,q2,q3,q4,q5
1900073,2,4,3,4,think themselves
1900013,1,3,2,4,think themselves
1900025,2,1,1,4,think themselves
1900043,2,3,2,4,think themselves
1900061,2,2,2,4,think themselves
1900079,5,3,2,4,think themselves
1900085,3,1,1,5,think themselves
1900097,0,0,0,0,think themselves
1900115,2,1,1,4,think themselves
1900121,4,2,2,4,think themselves
1900127,3,4,4,4,think themselves
1900139,4,0,3,3,think themselves
1900145,4,2,1,2,think themselves
1900151,4,3,2,4,be obedient
1900157,4,3,3,4,think themselves
1900163,5,1,1,4,be obedient
1900175,3,2,2,3,think themselves
1900181,5,1,2,4,think themselves
1900187,3,2,2,4,think themselves
1900199,2,1,1,3,think themselves
1900205,4,4,4,4,think themselves
1900211,2,2,2,4,think themselves
1900217,4,3,2,4,think themselves
1900223,5,3,3,4,think themselves
1900235,4,1,1,4,think themselves
1900241,2,1,2,2,think themselves
1900259,3,1,2,4,think themselves
1900277,4,2,4,4,think themselves
1900283,0,0,0,4,think themselves
1900295,4,2,4,5,be obedient
1900307,2,4,4,4,think themselves
1900313,2,2,2,4,think themselves
1900325,4,2,4,4,think themselves
1900331,3,2,2,4,be obedient
1900337,2,3,3,4,be obedient
1900343,3,3,2,4,think themselves
1900349,5,5,2,4,be obedient
1900355,3,2,2,4,think themselves
1900367,0,4,2,4,think themselves
1900373,4,2,2,4,think themselves
1900379,3,4,4,3,be obedient
1900385,2,2,3,4,think themselves
1900415,5,3,3,4,be obedient
1900421,4,1,1,4,think themselves
1900433,4,3,2,5,think themselves
1900451,5,5,1,1,be obedient
1900457,4,0,2,2,be obedient
1900463,2,4,4,3,think themselves
1900469,3,2,1,5,think themselves
1900475,2,4,5,4,be obedient
1900481,4,2,2,5,think themselves
1900487,4,2,1,4,think themselves
1900493,3,3,4,4,think themselves
1900511,5,5,5,3,be obedient
1900523,5,2,4,4,think themselves
1900529,4,4,2,4,be obedient
1900547,3,2,2,4,think themselves
1900553,3,4,2,4,think themselves
1900565,4,4,2,4,be obedient
1900583,2,2,2,4,think themselves
1900589,2,2,2,5,be obedient
1900601,5,2,3,5,think themselves
1900607,2,3,2,2,think themselves
1900613,2,4,4,4,think themselves
1900614,5,2,2,3,think themselves
1900619,2,4,2,3,think themselves
1900631,3,2,1,4,think themselves
1900637,4,2,2,2,think themselves
1900661,5,2,2,2,think themselves
1900667,2,2,2,2,be obedient
1900697,2,2,4,4,think themselves
1900709,3,4,3,0,be obedient
1900721,3,2,2,5,think themselves
1900727,3,2,1,4,think themselves
1900751,4,2,2,4,think themselves
1900769,0,5,2,0,be obedient
1900799,2,2,2,4,think themselves
1900806,4,1,1,5,think themselves
1900811,3,3,2,4,be obedient
1900823,4,2,2,2,think themselves
1900829,3,3,2,4,think themselves
1900853,4,1,2,3,think themselves
1900865,4,2,2,3,think themselves
1900877,2,1,1,4,think themselves
1900883,2,2,2,4,think themselves
1900889,0,4,4,4,think themselves
1900895,5,1,1,3,think themselves
1901111,2,5,5,4,think themselves
1901117,5,1,1,5,think themselves
1901123,5,1,1,5,think themselves
1901141,3,5,3,4,be obedient
1901171,3,2,1,4,think themselves
1901183,5,2,2,5,think themselves
1901189,2,1,1,2,think themselves
1901201,3,3,2,3,think themselves
1901237,5,2,2,4,think themselves
1901243,3,4,4,3,think themselves
1901249,3,2,1,4,think themselves
1901261,3,3,1,4,think themselves
1901273,3,3,3,5,think themselves
1901291,4,3,2,4,think themselves
1901297,3,1,1,2,think themselves
1901315,2,3,3,5,think themselves
1901321,2,1,1,4,think themselves
1901339,3,1,1,5,think themselves
1901345,2,2,2,4,think themselves
1901381,2,1,1,4,think themselves
1901387,2,3,2,3,think themselves
1901393,3,4,3,3,think themselves
1901399,5,3,5,5,think themselves
1901405,2,4,2,4,think themselves
1901411,3,3,3,4,be obedient
1901417,4,2,4,4,think themselves
1901423,3,4,2,3,think themselves
1901429,4,2,2,4,think themselves
1901435,4,4,1,1,think themselves
1901441,5,4,2,2,be obedient
1901453,2,2,2,3,think themselves
1901459,4,3,1,4,think themselves
1901471,4,2,2,2,be obedient
1901477,3,3,3,3,think themselves
1901483,4,2,2,4,think themselves
1901495,4,2,2,4,think themselves
1901501,4,2,2,4,think themselves
1901537,3,1,1,4,think themselves
1901549,5,1,1,4,think themselves
1901561,2,2,2,4,think themselves
1901573,5,1,4,4,think themselves
1901591,2,4,3,4,be obedient
1901597,4,4,4,2,be obedient
1901609,4,0,5,4,think themselves
1901615,3,3,5,4,think themselves
1901627,3,4,4,4,be obedient
1901639,2,1,2,2,think themselves
1900901,3,3,3,4,think themselves
1900913,3,2,2,4,think themselves
1900937,3,2,2,4,think themselves
1900949,5,1,2,4,think themselves
1900973,2,2,2,5,think themselves
1900979,5,4,3,5,think themselves
1900985,3,2,2,3,think themselves
1900997,3,1,1,2,think themselves
1901021,4,1,1,2,think themselves
1901009,5,5,2,4,think themselves
1901027,2,4,2,5,think themselves
1901039,2,2,2,4,think themselves
1901045,4,1,1,4,think themselves
1901057,3,2,2,4,think themselves
1901063,0,2,3,0,think themselves
1901069,2,1,1,4,think themselves
1900902,3,2,2,5,think themselves
1900914,2,2,1,4,think themselves
1900932,3,2,2,4,be obedient
1900938,4,3,3,4,be obedient
1900956,3,5,5,2,think themselves
1900968,3,2,2,3,think themselves
1900980,2,0,1,2,think themselves
1900992,2,1,1,4,think themselves
1900998,4,2,2,4,think themselves
1901004,3,5,2,4,think themselves
1901022,4,1,2,4,think themselves
1901028,4,5,4,4,think themselves
1901034,4,4,2,4,think themselves
1901040,4,2,2,4,think themselves
1901046,4,4,2,2,think themselves
1901052,4,3,2,4,think themselves
1901058,2,4,4,2,be obedient
1901076,2,4,2,2,be obedient
1901082,3,1,1,3,think themselves
1901100,3,4,4,4,be obedient
1901106,2,4,2,4,be obedient
1901130,3,1,1,4,think themselves
1901136,3,2,2,4,think themselves
1901142,2,2,2,4,think themselves
