"id","q1a","q1b","q1c","q1d","q1e"
2,1,1,1,3,4
10,1,1,3,2,3
14,1,1,3,2,4
19,1,1,2,3,3
25,1,1,2,3,3
27,1,1,2,2,3
42,1,1,2,2,3
46,1,2,2,4,3
51,1,2,2,3,4
58,1,1,2,3,1
69,1,1,3,3,1
73,1,1,3,2,3
77,1,1,1,2,3
80,1,1,2,1,3
92,2,2,3,2,3
97,2,1,1,1,2
106,2,1,2,2,3
121,1,1,3,3,4
125,2,1,2,3,2
126,2,1,3,3,2
127,1,1,2,2,4
131,1,1,2,3,3
134,3,2,3,3,4
136,2,1,2,3,3
139,1,1,2,3,3
140,1,1,3,3,3
145,1,1,4,2,1
146,1,1,2,2,3
150,1,2,2,2,3
157,1,1,2,3,4
160,1,2,2,3,4
164,1,1,1,2,3
165,1,1,1,3,2
167,2,2,3,3,4
168,1,1,3,3,3
192,1,1,3,2,3
198,1,1,2,2,1
206,1,1,3,2,3
222,2,1,1,2,2
224,1,1,3,3,4
228,2,2,1,2,3
230,1,1,2,2,3
231,1,1,2,3,4
232,1,1,2,3,2
233,2,1,2,2,2
234,1,1,2,3,4
235,2,1,1,3,3
236,1,1,2,2,2
239,1,1,3,3,2
247,1,1,2,1,3
248,1,1,2,2,4
249,1,1,2,3,4
250,1,1,3,3,4
254,1,3,2,3,3
262,1,1,2,3,3
263,1,1,3,2,4
276,3,2,2,2,4
278,1,1,3,2,3
279,1,1,3,2,3
284,2,2,2,3,4
293,1,1,2,2,3
296,1,1,1,1,2
298,1,1,2,2,4
299,1,1,2,3,1
315,3,1,3,2,3
320,1,1,2,3,3
321,1,1,2,2,2
325,1,1,2,2,4
332,1,1,2,3,1
343,1,1,2,3,3
344,1,1,4,1,2
345,1,1,2,2,2
346,1,1,1,1,1
357,1,1,2,2,4
363,1,1,3,1,3
366,1,1,2,2,2
369,1,2,2,1,4
371,1,1,2,4,4
377,1,1,2,4,1
381,1,1,2,2,1
382,1,1,3,3,4
386,1,1,2,2,3
390,1,1,3,3,4
392,1,1,3,3,3
394,1,1,2,2,3
399,1,1,2,1,1
400,2,1,3,3,3
403,2,1,2,2,3
405,1,1,1,2,3
406,1,1,2,2,2
409,2,1,3,2,3
410,1,1,2,2,2
413,1,1,3,2,3
418,1,1,2,2,3
422,1,1,2,2,3
423,2,1,1,2,3
428,1,1,2,2,4
429,1,1,2,2,3
433,1,1,2,1,4
435,1,1,1,3,3
436,1,1,1,3,4
438,1,1,2,1,3
449,1,1,1,1,4
451,1,1,3,3,3
458,1,1,2,3,4
464,1,1,2,1,3
466,1,1,2,2,4
467,2,1,1,3,4
474,2,1,3,3,2
475,1,1,1,3,2
478,1,1,3,2,2
479,2,1,3,3,4
483,1,2,3,3,3
484,1,1,2,2,3
487,1,1,2,2,4
489,1,1,3,2,3
493,2,1,2,2,3
500,1,1,2,1,4
502,1,1,1,2,3
505,1,1,3,2,2
510,2,1,2,1,3
515,1,1,2,1,2
520,1,1,3,3,3
521,1,1,1,1,2
523,1,1,1,3,2
532,1,1,3,2,3
540,1,2,2,2,3
542,1,1,2,2,3
545,1,1,2,2,3
548,1,3,2,2,3
555,1,1,2,2,4
556,1,1,2,2,3
557,1,1,2,3,3
558,1,1,2,2,3
563,1,1,3,3,3
564,1,1,2,2,3
565,1,1,2,2,2
568,1,1,3,2,3
569,2,1,3,2,2
572,1,1,2,3,3
573,1,1,2,3,3
574,1,1,2,3,4
578,1,1,3,2,3
581,2,1,2,1,3
583,2,1,3,2,3
584,1,1,2,2,3
610,2,2,2,2,3
